col1,col2
1294,3.08
1295,5.47
1296,7.63
1297,8.66
1298,7.8
1299,8.82
1300,8.84
1301,9.75
1302,8.78
1303,9.7
1304,4.23
1305,4.71
1306,1.54
1307,4.98
1308,7.18
1309,10.97
1310,12.57
1311,9.51
1312,5.86
1313,3.47
1314,1.33
1315,4.79
1316,7.02
1317,9.91
1318,8.92
1319,5.33
1320,2.1
1321,0.99
1322,-0.01
1323,-1.81
1324,-6.13
1325,-11.82
1326,-14.23
1327,-15.51
1328,-13.96
1329,-9.86
1330,-6.18
1331,-6.46
1332,-1.31
1333,-3.88
1334,-4.39
1335,-5.75
1336,-7.88
1337,-7.09
1338,-6.38
1339,-3.94
1340,-0.85
1341,1.04
1342,0.93
1343,-0.96
1344,-1.77
1345,-3.39
1346,-3.95
1347,-2.65
1348,-1.49
1349,-2.24
1350,3.38
1351,2.15
1352,2.83
1353,-0.15
1354,-3.74
1355,-2.46
1356,-2.22
1357,-0.2
1358,0.72
1359,-0.25
1360,0.68
1361,0.61
1362,1.45
1363,-1.4
1364,-3.96
1365,-3.56
1366,-3.21
1367,1.62
1368,3.25
1369,5.63
1370,5.07
1371,0.06
1372,-1.75
1373,-1.57
1374,1.29
1375,0.26
1376,-1.57
1377,-5.01
1378,-6.31
1379,-2.98
1380,3.62
1381,7.76
1382,10.58
1383,12.22
1384,11.0
1385,10.8
1386,10.62
1387,13.16
1388,17.24
1389,17.32
1390,19.19
1391,16.37
1392,12.93
1393,8.94
1394,7.14
1395,-0.77
1396,-6.99
1397,-12.59
1398,-16.73
1399,-16.86
1400,-16.07
1401,-12.67
1402,-13.2
1403,-11.88
1404,-10.69
1405,-9.62
1406,-10.46
1407,-9.41
1408,-8.47
1409,-6.73
1410,-5.15
1411,-3.74
1412,-9.66
1413,-13.2
1414,-15.48
1415,-13.93
1416,-8.04
1417,-5.43
1418,-3.09
1419,7.12
1420,21.71
1421,52.84
1422,88.95
1423,127.76
1424,146.48
1425,140.83
1426,111.45
1427,67.01
1428,27.0
1429,-2.7
1430,-23.13
1431,-34.31
1432,-39.88
1433,-41.29
1434,-42.56
1435,-48.21
1436,-51.49
1437,-51.74
1438,-49.26
1439,-46.14
1440,-41.52
1441,-41.87
